trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,noise_sigma_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force,pose_estimation_error,effective_offset
513,3,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,8.152,61.1646,20.9654,11,10,0.013719,1.1079,0.004429,0.316684,11.2817,1.1897,306.2079,0.0,1.8848,0.012674,0.012674
514,4,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.276,39.2275,8.2982,0,0,0.000416,3.8817,0.004944,0.312474,11.2076,1.1923,303.7089,0.0,1.8978,0.007224,0.007224
515,5,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,7.926,56.5616,21.256,11,10,0.010717,1.0214,0.004567,0.316422,11.1567,1.1872,306.4261,0.0,1.7201,0.009608,0.009608
516,6,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,jam_max_recovery,13.944,61.2448,11.1377,11,10,0.00785,1.7098,0.004764,0.315014,11.3891,1.1907,300.303,0.0,1.766,0.007429,0.007429
517,7,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.292,30.946,4.026,0,0,0.004133,3.9766,0.004601,0.313564,11.1969,1.1915,308.2112,0.0,1.6502,0.004911,0.004911
518,8,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,8.294,43.5418,21.6391,11,10,0.010719,1.0856,0.004065,0.31679,11.6576,1.3024,319.8584,0.0,1.6169,0.008918,0.008918
519,9,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.268,12.3456,2.0421,0,0,0.004107,4.1493,0.004733,0.308047,11.2266,1.1917,313.5493,0.0,1.8007,0.006539,0.006539
520,10,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,14.49,51.2598,11.1388,11,10,0.005959,1.6851,0.004135,0.313355,11.4471,1.1865,313.5059,0.0,1.7066,0.005561,0.005561
521,11,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.346,32.0175,16.5308,0,0,0.004031,3.3908,0.004747,0.314944,11.119,1.1935,317.2872,0.0,1.7956,0.003895,0.003895
522,12,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,11.672,42.0057,11.4262,3,3,0.004111,3.6815,0.004683,0.313764,11.1981,1.1895,305.0897,0.0,1.6421,0.008059,0.008059
523,13,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,13.076,58.8999,10.2582,6,6,0.004973,4.4996,0.004775,0.315055,11.2724,1.1928,316.1879,0.0,1.6389,0.007248,0.007248
524,14,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,13.62,58.6341,11.9987,11,10,0.00884,2.0573,0.00494,0.317889,11.2623,1.1914,311.8608,0.0,1.5727,0.007011,0.007011
525,15,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,jam_max_recovery,8.026,40.8643,19.9624,11,10,0.011539,1.0955,0.004862,0.316611,11.0931,1.1896,303.2543,0.0,1.5082,0.010348,0.010348
526,16,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,14.764,41.0809,9.132,11,10,0.006537,1.8226,0.004865,0.313634,11.0971,1.1938,316.9374,0.0,1.7324,0.004951,0.004951
527,17,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,11.788,40.6049,6.8881,3,3,0.004562,2.5698,0.004177,0.309422,11.4972,1.1905,311.3442,0.0,1.574,0.007676,0.007676
528,18,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,8.524,54.43,20.7619,11,10,0.012239,1.0435,0.004943,0.312627,11.123,1.1902,307.7693,0.0,1.5256,0.012004,0.012004
529,19,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,13.164,42.5276,9.0649,6,6,0.004045,2.9349,0.004463,0.312178,11.2124,1.1907,311.348,0.0,1.6326,0.007126,0.007126
