trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
48,18,impedance,waypoint,none,gt,3.0,,1,,10.124,27.5725,14.6573,0,0,0.002938,1.0751,0.004997,0.312194,11.2401,1.2614,308.9892,0.0,1.5418
49,19,impedance,waypoint,none,gt,3.0,,1,,10.178,28.5172,15.4007,0,0,0.002772,1.0665,0.004965,0.312378,11.2835,1.3069,330.1463,0.0,0.0
50,20,impedance,waypoint,none,gt,3.0,,1,,10.168,43.9071,19.0773,0,0,0.002864,1.0904,0.004424,0.313623,11.6109,1.3046,321.2858,0.0,0.0
51,21,impedance,waypoint,none,gt,3.0,,1,,10.138,41.8401,21.6052,0,0,0.002712,1.083,0.004104,0.313481,11.4025,1.3059,297.2554,0.0,0.0
52,22,impedance,waypoint,none,gt,3.0,,1,,10.042,37.5582,18.8327,0,0,0.002508,1.0688,0.004763,0.312106,11.1087,1.3067,316.6786,0.0,1.5123
53,23,impedance,waypoint,none,gt,3.0,,1,,10.09,32.657,18.4206,0,0,0.00267,1.0245,0.004372,0.313396,11.1783,1.3059,309.2383,0.0,0.0
54,24,impedance,waypoint,none,gt,3.0,,1,,10.142,34.5218,17.8903,0,0,0.002486,1.0456,0.004786,0.312225,11.2995,1.2551,329.3203,0.0,0.0
55,25,impedance,waypoint,none,gt,3.0,,1,,10.19,39.6106,18.2841,0,0,0.003229,1.0729,0.004343,0.313535,11.3998,1.1922,302.2183,0.0,0.0
56,26,impedance,waypoint,none,gt,3.0,,1,,10.134,32.1012,18.2196,0,0,0.002624,1.0532,0.004404,0.313328,11.2597,1.2568,311.3863,0.0,0.0
57,27,impedance,waypoint,none,gt,3.0,,1,,10.076,33.5852,16.7945,0,0,0.002549,1.0662,0.004992,0.312332,11.3092,1.3083,334.4773,0.0,0.0
58,28,impedance,waypoint,none,gt,3.0,,1,,10.032,27.3734,15.8246,0,0,0.002686,1.0579,0.004943,0.312196,11.1323,1.3081,318.8051,0.0,0.0
59,29,impedance,waypoint,none,gt,3.0,,1,,10.182,35.6398,18.9433,0,0,0.002393,1.0735,0.004841,0.312188,11.1638,1.1933,305.4796,0.0,0.0
60,0,impedance,waypoint,none,gt,6.0,,0,force_abort,4.474,40.0896,19.6909,1,0,0.006476,0.5014,0.004634,0.313628,11.2994,1.3016,330.153,0.0,1.8269
61,1,impedance,waypoint,none,gt,6.0,,1,,10.232,38.8225,6.1004,0,0,0.002132,1.17,0.004626,0.313678,11.3317,1.1914,331.2627,0.0,1.9139
62,2,impedance,waypoint,none,gt,6.0,,1,,10.13,37.7306,6.1834,0,0,0.002505,1.1219,0.004621,0.313557,11.1833,1.2545,308.4653,0.0,1.6293
63,3,impedance,waypoint,none,gt,6.0,,0,force_abort,4.55,40.1116,20.7201,1,0,0.00635,0.524,0.004584,0.31368,11.2364,1.3066,324.6004,0.0,1.6566
64,4,impedance,waypoint,none,gt,6.0,,1,,10.078,34.226,6.2748,0,0,0.002208,1.1651,0.004777,0.313695,11.2432,1.1938,324.3732,0.0,1.5125
65,5,impedance,waypoint,none,gt,6.0,,1,,10.112,38.7858,11.5296,0,0,0.002621,1.1821,0.004784,0.313911,11.4359,1.262,333.3987,0.0,1.5259
66,6,impedance,waypoint,none,gt,6.0,,1,,10.138,33.6795,5.656,0,0,0.002644,1.1764,0.004608,0.313642,11.2195,1.1877,306.7056,0.0,1.528
67,7,impedance,waypoint,none,gt,6.0,,1,,10.086,37.5129,6.2782,0,0,0.002764,1.1359,0.004585,0.313703,11.2646,1.3047,319.4278,0.0,1.9574
68,8,impedance,waypoint,none,gt,6.0,,1,,10.048,31.1922,6.7314,0,0,0.000557,1.1929,0.004179,0.31505,11.5634,1.3047,313.7216,0.0,1.7214
69,9,impedance,waypoint,none,gt,6.0,,1,,10.1,28.4549,6.1059,0,0,0.002705,1.187,0.004655,0.313718,11.3898,1.2534,310.9212,0.0,1.7226
70,10,impedance,waypoint,none,gt,6.0,,1,,10.13,35.4073,6.8254,0,0,0.003958,1.1565,0.004806,0.313708,11.1868,1.1913,306.5494,0.0,1.5618
71,11,impedance,waypoint,none,gt,6.0,,1,,10.08,36.2204,6.5418,0,0,0.002862,1.1735,0.004925,0.313661,11.1046,1.1932,315.1541,0.0,1.6113
72,12,impedance,waypoint,none,gt,6.0,,1,,10.084,37.2643,9.3498,0,0,0.003194,1.1698,0.004794,0.313728,11.2497,1.3045,325.018,0.0,1.5258
73,13,impedance,waypoint,none,gt,6.0,,1,,10.168,33.0639,6.3415,0,0,0.001274,1.1819,0.004432,0.313643,11.3518,1.259,308.0766,0.0,1.5374
74,14,impedance,waypoint,none,gt,6.0,,1,,10.176,32.9482,7.4827,0,0,0.002724,1.1565,0.003875,0.314855,11.432,1.3053,310.5237,0.0,1.6761
75,15,impedance,waypoint,none,gt,6.0,,1,,10.11,33.6151,7.9844,0,0,0.002614,1.1642,0.003995,0.313761,11.6299,1.3058,304.0523,0.0,1.6461
76,16,impedance,waypoint,none,gt,6.0,,1,,10.126,38.5495,6.9398,0,0,0.000722,1.1479,0.004787,0.31394,11.4459,1.3086,331.3707,0.0,1.5002
77,17,impedance,waypoint,none,gt,6.0,,1,,10.082,38.2368,6.6038,0,0,0.004116,1.1806,0.004571,0.313662,11.2677,1.3055,326.4028,0.0,1.8018
78,18,impedance,waypoint,none,gt,6.0,,0,force_abort,4.502,40.2855,18.2904,1,0,0.006579,0.5119,0.004632,0.31359,11.2618,1.2604,306.5521,0.0,1.5418
79,19,impedance,waypoint,none,gt,6.0,,1,,10.18,31.5078,7.8939,0,0,0.001328,1.1787,0.004568,0.313772,11.3095,1.3057,327.7126,0.0,1.5088
80,20,impedance,waypoint,none,gt,6.0,,0,force_abort,4.584,40.4053,20.9758,1,0,0.006568,0.5243,0.00497,0.313988,11.5507,1.3036,318.8558,0.0,2.1556
81,21,impedance,waypoint,none,gt,6.0,,1,,10.138,34.9718,6.3619,0,0,0.001415,1.1852,0.004641,0.313844,11.3413,1.3048,294.8231,0.0,1.6062
82,22,impedance,waypoint,none,gt,6.0,,1,,10.036,34.3481,7.5036,0,0,0.001291,1.1906,0.004557,0.313483,11.0955,1.3056,314.2421,0.0,1.6199
83,23,impedance,waypoint,none,gt,6.0,,1,,10.09,31.7761,5.929,0,0,0.003971,1.1239,0.004913,0.313758,11.1321,1.3048,306.8079,0.0,1.6839
