trial_id,seed,controller,planner,contact,perception,offset_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
76,6,impedance,waypoint,none,gt,9,0,force_abort,4.52,40.0929,18.7854,1,0,0.009101,0.5276
77,7,impedance,waypoint,none,gt,9,0,force_abort,4.466,40.1348,20.9473,1,0,0.009221,0.5291
78,8,impedance,waypoint,none,gt,9,0,force_abort,4.484,40.3659,21.4338,1,0,0.009483,0.5515
79,9,impedance,waypoint,none,gt,9,0,force_abort,4.482,40.2142,20.2428,1,0,0.009217,0.5211
80,0,osc,waypoint,none,gt,0,1,,10.064,30.2463,16.8495,0,0,0.000428,1.2473
81,1,osc,waypoint,none,gt,0,1,,10.232,45.1093,20.3112,0,0,0.000384,1.264
82,2,osc,waypoint,none,gt,0,1,,10.13,33.8874,23.3016,0,0,0.000494,1.1856
83,3,osc,waypoint,none,gt,0,1,,10.166,31.7979,21.8193,0,0,0.000312,1.2467
84,4,osc,waypoint,none,gt,0,1,,10.078,28.6385,16.8539,0,0,0.000825,1.1701
85,5,osc,waypoint,none,gt,0,1,,10.112,34.607,18.5015,0,0,0.000196,1.2521
86,6,osc,waypoint,none,gt,0,1,,10.138,33.5012,20.0639,0,0,0.000629,1.2789
87,7,osc,waypoint,none,gt,0,1,,10.086,30.3315,16.7776,0,0,0.000497,1.2515
88,8,osc,waypoint,none,gt,0,1,,10.048,30.4382,13.8694,0,0,0.000577,1.2533
89,9,osc,waypoint,none,gt,0,1,,10.1,27.5368,15.1075,0,0,0.000563,1.2628
90,0,osc,waypoint,none,gt,3,1,,10.064,26.9209,15.3849,0,0,0.002834,1.244
91,1,osc,waypoint,none,gt,3,1,,10.232,45.0401,20.2803,0,0,0.002621,1.2246
92,2,osc,waypoint,none,gt,3,1,,10.13,35.2955,23.2933,0,0,0.002735,1.1882
93,3,osc,waypoint,none,gt,3,1,,10.166,33.3679,22.1532,0,0,0.002723,1.2271
94,4,osc,waypoint,none,gt,3,1,,10.078,29.3475,16.605,0,0,0.002888,1.3021
